Day,Temperature,RH,Heat Index,Weather,"Time Cond (morning, afternoon, evening)",SWING direction,Heat Source,Fan speed,Temp set AC,Sensor Placing,Tot kWH,Duration(min),Watt Avg
5-8-2021,29.9,0.60,33,Sunny,Morning,Bawah full,LaptopHuman,1,24,Beside Laptop,0,0,987
5-8-2021,30,0.61,33,Sunny,Morning,Bawah full,LaptopHuman,1,24,Beside Laptop,0.159,10,996
5-8-2021,27.2,0.56,28.03,Sunny,Morning,Bawah full,LaptopHuman,1,24,Beside Laptop,0.306,20,924
5-8-2021,26.8,0.49,27.18,Sunny,Morning,Bawah full,LaptopHuman,1,24,Beside Laptop,0.464,30,990
5-8-2021,26.7,0.46,26.94,Sunny,Morning,Bawah full,LaptopHuman,1,24,Beside Laptop,0.614,40,942
5-8-2021,25.7,0.44,25.47,Sunny,Morning,Bawah full,LaptopHuman,1,24,Beside Laptop,0.77,50,978
5-8-2021,25,0.46,24.76,Sunny,Morning,Bawah full,LaptopHuman,1,24,Beside Laptop,0.93,60,1002
5-8-2021,25.2,0.45,24.95,Sunny,Morning,Bawah full,LaptopHuman,1,24,Beside Laptop,1.084,70,966
5-8-2021,24.8,0.45,24.51,Sunny,Morning,Bawah full,LaptopHuman,1,24,Beside Laptop,1.245,80,1008
5-8-2021,24.5,0.46,24.21,Sunny,Morning,Bawah full,LaptopHuman,1,24,Beside Laptop,1.398,90,960
5-8-2021,24.4,0.44,24.04,Sunny,Morning,Bawah full,LaptopHuman,1,24,Beside Laptop,1.55,100,954
5-8-2021,24.4,0.44,24.04,Gerimis,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,1.7,110,942
5-8-2021,24.4,0.44,24.04,mendung,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,1.862,120,1014
5-8-2021,24.3,0.43,23.91,gerimis,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,2.015,130,960
5-8-2021,24.1,0.43,23.69,gerimis,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,2.168,140,960
5-8-2021,23.8,0.47,23.46,mendung,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,2.32,150,954
5-8-2021,23.6,0.43,23.14,mendung,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,2.47,160,942
5-8-2021,23.8,0.45,23.41,mendung,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,2.62,170,942
5-8-2021,24,0.43,23.58,Sunny,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,2.775,180,972
5-8-2021,23.7,0.44,23.27,Sunny,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,2.928,190,960
5-8-2021,23.7,0.43,23.25,Sunny,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,3.081,200,960
5-8-2021,23.7,0.42,23.22,Sunny,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,3.235,210,966
5-8-2021,24.5,0.38,24,Sunny,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,3.386,220,948
5-8-2021,24.7,0.38,24.22,Sunny,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,3.539,230,960
5-8-2021,24.4,0.38,23.89,Sunny,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,3.689,240,942
5-8-2021,24.3,0.39,23.8,Sunny,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,3.843,250,966
5-8-2021,24.6,0.39,24.13,Sunny,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,3.999,260,978
5-8-2021,24.9,0.39,24.46,Sunny,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,4.15,270,948
5-8-2021,25.5,0.35,25.02,Sunny,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,4.302,280,954
5-8-2021,25.6,0.34,25.1,Sunny,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,4.457,290,972
5-8-2021,25.6,0.35,25.13,Sunny,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,4.61,300,960
5-8-2021,25.6,0.34,25.1,Sunny,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,4.763,310,960
5-8-2021,24.5,0.37,23.97,Sunny,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,4.916,320,960
5-8-2021,23.9,0.39,23.36,Sunny,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,5.068,330,954
5-8-2021,23.7,0.39,23.14,Sunny,Afternoon,Bawah full,LaptopHuman,1,24,Beside Laptop,5.22,340,954
5-8-2021,23.8,0.39,23.25,Sunny,Evening,Bawah full,LaptopHuman,1,24,Beside Laptop,5.373,350,960
5-8-2021,23.9,0.39,23.36,Sunny,Evening,Bawah full,LaptopHuman,1,24,Beside Laptop,5.526,360,960
5-8-2021,23.8,0.39,23.25,Sunny,Evening,Bawah full,LaptopHuman,1,24,Beside Laptop,5.679,370,960
5-8-2021,23.8,0.38,23.23,Sunny,Evening,Bawah full,LaptopHuman,1,24,Beside Laptop,5.832,380,960
5-8-2021,23.7,0.40,23.17,Sunny,Evening,Bawah full,LaptopHuman,1,24,Beside Laptop,5.983,390,948
5-8-2021,23.3,0.39,22.7,Sunny,Evening,Bawah full,LaptopHuman,1,24,Beside Laptop,6.133,400,942
5-8-2021,23.4,0.40,22.84,Sunny,Evening,Bawah full,LaptopHuman,1,24,Beside Laptop,6.283,410,942
5-8-2021,23.2,0.39,22.59,Sunny,Evening,Bawah full,LaptopHuman,1,24,Beside Laptop,6.434,420,948
5/10/2021,27.8,0.73,30.66,Sunny,Morning,Bawah full,LaptopHuman,1,25,Beside Laptop,0,0,942
5/10/2021,27.8,0.72,30.53,Sunny,Morning,Bawah full,LaptopHuman,1,25,Beside Laptop,0.148,10,930
